sku,image_filename,product_handle,product_title,image_url,status
ITEM-031200,tbm-rb-v2-2_b22c9a52-d03b-44ea-8042-69a5fc4b30d6.jpg,2022-gmc-hummer-ev-pickup-rubber-truck-bed-mat-lightweight-v2,2022-2026 GMC Hummer EV Pickup 5 ft Bed Rubber Bed Mat - V2,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-v2-2_b22c9a52-d03b-44ea-8042-69a5fc4b30d6.jpg?v=1776218170,ACTIVE
ITEM-030294,tbm-rb-gy-2_a45322fa-1dbd-42b5-b013-6c8dae8991ac.jpg,2022-gmc-hummer-ev-rubber-truck-bed-mat-2pc-w-front-trunk-mat,2022-2026 GMC Hummer EV Pickup 5 ft Bed Rubber Bed Mat 2PC - TBM,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-gy-2_a45322fa-1dbd-42b5-b013-6c8dae8991ac.jpg?v=1776218172,ACTIVE
ITEM-030293,tbm-rb-gy-2_96f2e0c0-accd-4da7-9a3e-86170089fa40.jpg,2022-hyundai-santa-cruz-4ft-bed-rubber-mat-diamond-plate,2022-2026 Hyundai Santa Cruz 4 ft Bed Rubber Bed Mat - Diamond Plate,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-gy-2_96f2e0c0-accd-4da7-9a3e-86170089fa40.jpg?v=1776218173,ACTIVE
ITEM-031199,tbm-rb-v2-2_32a611ae-bc8b-4d55-90a4-e0a8d899ecb5.jpg,2022-2026-hyundai-santa-cruz-4ft-bed-rubber-truck-bed-mat-v2,2022-2026 Hyundai Santa Cruz 4 ft Bed Rubber Truck Bed Mat V2,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-v2-2_32a611ae-bc8b-4d55-90a4-e0a8d899ecb5.jpg?v=1776218175,ACTIVE
ITEM-031818,LISTING_tc-lth_2btbl-16w8p-01-ws-2_c70cc691-3814-46c9-af07-ba82d20e2bc6.jpg,2022-nissan-frontier-5ft-hard-tri-fold-tonneau-cover-w-led-lights,2022-2026 Nissan Frontier 5 ft Bed Hard Tri-Fold Tonneau Cover Combo w/ LED Lights,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lth_2btbl-16w8p-01-ws-2_c70cc691-3814-46c9-af07-ba82d20e2bc6.jpg?v=1773340049,ACTIVE
ITEM-031819,LISTING_tc-lru_2btbl-16w8p-01-ws-1_4aef43d9-24ee-404d-ac9b-e4e1920f816f.jpg,2022-2023-nissan-frontier-5ft-bed-roll-up-tonneau-cover-w-led-lights,2022-2026 Nissan Frontier 5 ft Bed Roll-Up Tonneau Cover Combo w/ LED Lights,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lru_2btbl-16w8p-01-ws-1_4aef43d9-24ee-404d-ac9b-e4e1920f816f.jpg?v=1773340013,ACTIVE
ITEM-030292,tbm-rb-v2-2_2ade8b6f-7ce0-474b-968d-369ef7373e97.jpg,2022-nissan-frontier-5ft-short-bed-rubber-mat-lightweight-v2,2022-2026 Nissan Frontier 5 ft Bed Rubber Bed Mat - Lightweight V2,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-v2-2_2ade8b6f-7ce0-474b-968d-369ef7373e97.jpg?v=1776218177,ACTIVE
ITEM-031034,tbm-rb-gy-2_d919e5ea-ce91-4f96-b297-ab2ab952aaf1.jpg,2022-2026-nissan-frontier-5ft-bed-rubber-mat-diamond-plate,2022-2026 Nissan Frontier 5 ft Bed Rubber Truck Bed Mat - Diamond Plate,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tbm-rb-gy-2_d919e5ea-ce91-4f96-b297-ab2ab952aaf1.jpg?v=1776218178,ACTIVE
ITEM-030290,LISTING_tc-lth-ws-2_9c6e1da0-023f-41d3-9130-a4acb3c09d4d.jpg,2022-nissan-frontier-5ft-bed-hard-tri-fold-tonneau-cover,2022-2026 Nissan Frontier 5 ft Bed Tonneau Cover - Hard Tri-Fold,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/LISTING_tc-lth-ws-2_9c6e1da0-023f-41d3-9130-a4acb3c09d4d.jpg?v=1773340013,ACTIVE
ITEM-030311,tc-lru-2_6f94cf1e-6396-4fa9-b406-98900edba1d5.jpg,2022-nissan-frontier-5ft-bed-soft-roll-up-tonneau-cover-5033110,2022-2026 Nissan Frontier 5 ft Bed Tonneau Cover - Lock & Roll-Up,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/tc-lru-2_6f94cf1e-6396-4fa9-b406-98900edba1d5.jpg?v=1776218180,ACTIVE
